step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0_train_updates,train_updates_this_step
576,284,796,31,65180,56
577,288,802,34,65224,44
578,304,806,20,65268,44
579,330,784,23,65320,52
580,341,776,29,65360,40
581,355,780,23,65408,48
582,351,782,40,65480,72
583,352,782,30,65540,60
584,343,772,50,65632,92
585,346,770,35,65700,68
586,349,764,32,65764,64
587,353,772,31,65836,72
588,349,772,35,65900,64
589,335,778,50,65984,84
590,320,768,35,66060,76
591,311,758,31,66132,72
592,296,740,48,66208,76
593,287,718,36,66276,68
594,282,720,42,66348,72
595,283,726,41,66420,72
596,301,712,30,66476,56
597,315,730,38,66536,60
598,331,744,29,66600,64
599,347,762,37,66672,72
600,370,776,28,66716,44
601,404,790,17,66748,32
602,420,790,25,66800,52
603,407,778,43,66876,76
604,412,782,29,66940,64
605,415,760,40,67008,68
606,406,778,50,67088,80
607,410,788,42,67172,84
608,404,814,51,67252,80
609,395,796,62,67348,96
610,405,788,42,67440,92
611,389,780,45,67532,92
612,381,780,30,67612,80
613,355,768,48,67692,80
614,348,766,36,67756,64
615,346,770,39,67840,84
616,341,764,37,67920,80
617,314,764,56,68016,96
618,298,760,43,68096,80
619,290,772,50,68200,104
620,271,790,49,68280,80
621,290,788,16,68320,40
622,304,778,12,68348,28
623,307,774,26,68400,52
624,311,778,29,68464,64
625,320,798,34,68532,68
626,328,790,37,68604,72
627,342,792,37,68664,60
628,352,778,37,68732,68
629,352,788,43,68816,84
630,365,778,33,68892,76
631,353,776,43,68968,76
632,367,762,28,69028,60
633,366,782,33,69088,60
634,368,816,46,69152,64
635,375,842,44,69216,64
636,375,834,37,69272,56
637,373,832,32,69336,64
638,347,850,49,69420,84
639,333,828,39,69504,84
640,302,826,51,69576,72
641,299,814,29,69632,56
642,290,814,44,69700,68
643,288,822,35,69760,60
644,275,840,42,69840,80
645,257,858,54,69940,100
646,261,862,28,70004,64
647,267,854,22,70056,52
648,286,818,29,70100,44
649,305,804,23,70136,36
650,324,816,19,70180,44
651,324,828,34,70240,60
652,317,818,46,70308,68
653,305,796,34,70372,64
654,304,796,34,70428,56
655,312,784,29,70488,60
656,311,762,38,70548,60
657,304,752,36,70608,60
658,295,750,47,70680,72
659,304,732,23,70736,56
660,304,738,28,70800,64
661,311,744,31,70856,56
662,308,758,39,70928,72
663,322,760,31,70976,48
664,341,782,31,71036,60
665,353,770,28,71092,56
666,344,786,46,71164,72
667,358,770,25,71216,52
668,363,762,30,71276,60
669,368,774,34,71344,68
670,355,796,55,71412,68
671,364,780,29,71472,60
672,368,790,28,71536,64
673,357,798,45,71620,84
674,334,764,55,71704,84
675,333,738,38,71772,68
676,319,734,37,71840,68
677,308,744,36,71908,68
678,306,768,28,71968,60
679,304,776,38,72044,76
680,263,758,58,72132,88
681,251,802,36,72200,68
682,254,780,31,72244,44
683,260,748,28,72296,52
684,263,750,39,72372,76
685,281,748,28,72436,64
686,310,734,22,72488,52
687,323,736,21,72532,44
688,331,708,34,72576,44
689,314,692,48,72640,64
690,319,698,30,72684,44
691,349,702,18,72724,40
692,352,696,27,72780,56
693,356,696,26,72832,52
694,348,702,33,72900,68
695,319,734,59,73000,100
696,289,728,56,73092,92
697,298,736,28,73156,64
698,297,726,32,73224,68
699,283,734,51,73280,56
700,284,748,38,73344,64
701,282,752,31,73404,60
702,283,766,25,73456,52
703,274,782,37,73516,60
704,283,786,19,73560,44
705,267,822,43,73620,60
706,268,794,30,73668,48
707,274,798,28,73728,60
708,264,772,51,73792,64
709,280,770,26,73848,56
710,288,756,28,73912,64
711,301,752,28,73956,44
712,312,768,18,73992,36
713,315,772,36,74048,56
714,327,778,18,74088,40
715,334,800,25,74144,56
716,307,802,48,74212,68
717,305,804,28,74272,60
718,291,794,38,74352,80
719,275,792,37,74432,80
720,260,766,40,74512,80
721,240,778,42,74588,76
722,230,780,31,74640,52
723,226,772,29,74700,60
724,233,780,21,74744,44
725,227,790,26,74800,56
726,216,792,29,74848,48
727,223,796,22,74896,48
728,234,794,27,74952,56
729,249,802,19,74996,44
730,249,818,37,75048,52
731,261,832,29,75096,48
732,275,808,17,75136,40
733,289,800,17,75176,40
734,284,796,31,75236,60
735,291,826,22,75284,48
736,303,830,17,75328,44
737,295,814,29,75384,56
738,276,874,49,75448,64
739,293,872,25,75500,52
740,289,824,48,75580,80
741,282,834,43,75660,80
742,298,876,27,75720,60
743,316,934,23,75776,56
744,340,914,23,75828,52
745,344,912,35,75888,60
746,347,856,38,75956,68
747,371,832,24,76004,48
748,389,836,31,76064,60
749,402,824,31,76128,64
750,410,792,32,76200,72
751,402,786,35,76272,72
752,380,782,43,76352,80
753,357,790,49,76436,84
754,343,784,37,76520,84
755,305,798,60,76616,96
756,283,794,40,76708,92
757,262,768,52,76796,88
758,260,756,39,76884,88
759,254,758,34,76956,72
760,246,760,32,77024,68
761,245,736,27,77084,60
762,252,764,24,77136,52
763,264,768,23,77184,48
764,260,824,31,77236,52
765,274,794,24,77284,48
766,279,812,31,77332,48
767,289,774,33,77392,60
768,300,800,33,77464,72
769,327,786,21,77512,48
770,323,758,38,77556,44
771,339,740,21,77600,44
772,348,738,31,77660,60
773,346,750,28,77720,60
774,339,730,46,77780,60
775,333,718,38,77852,72
776,335,726,28,77916,64
777,318,712,46,77996,80
778,306,696,38,78076,80
779,297,694,45,78168,92
780,309,692,30,78236,68
781,292,680,53,78320,84
782,301,676,32,78392,72
783,316,670,28,78436,44
784,332,668,29,78500,64
785,339,686,35,78560,60
786,367,704,19,78604,44
787,386,700,23,78652,48
788,407,736,20,78696,44
789,407,736,45,78772,76
790,432,744,34,78844,72
791,445,740,44,78924,80
792,442,744,44,79004,80
793,417,722,64,79096,92
794,409,724,37,79172,76
795,400,726,41,79260,88
796,386,722,43,79344,84
797,373,714,41,79412,68
798,367,726,34,79488,76
799,343,760,61,79588,100
800,336,766,46,79684,96
801,320,752,50,79784,100
802,316,760,48,79868,84
803,331,744,31,79936,68
804,344,770,30,79996,60
805,342,774,34,80068,72
806,354,780,26,80116,48
807,365,760,24,80164,48
808,364,806,33,80220,56
809,362,782,41,80288,68
810,360,740,41,80368,80
811,364,740,30,80432,64
812,355,734,50,80524,92
813,353,752,38,80608,84
814,354,714,43,80696,88
815,350,686,45,80768,72
816,345,684,32,80836,68
817,348,692,32,80916,80
818,354,678,31,80972,56
819,329,698,63,81052,80
820,335,694,35,81128,76
821,345,700,25,81188,60
822,357,708,29,81252,64
823,365,708,39,81316,64
824,355,726,58,81396,80
825,368,768,36,81472,76
826,377,768,37,81528,56
827,394,748,26,81584,56
828,411,724,33,81656,72
829,414,724,38,81732,76
830,408,718,37,81812,80
831,407,734,29,81880,68
832,397,732,39,81960,80
833,383,758,55,82060,100
834,380,764,45,82160,100
835,382,770,46,82264,104
836,371,766,58,82364,100
837,354,746,59,82452,88
838,339,768,50,82548,96
839,343,748,33,82620,72
840,337,768,43,82684,64
841,354,760,33,82744,60
842,373,756,24,82792,48
843,374,760,39,82860,68
844,367,752,36,82940,80
845,342,766,45,83020,80
846,318,756,41,83104,84
847,311,744,31,83176,72
848,295,732,39,83256,80
849,287,728,38,83332,76
850,272,772,46,83412,80
851,264,808,46,83500,88
852,261,836,46,83576,76
853,258,868,39,83648,72
854,277,870,20,83692,44
855,274,908,25,83732,40
856,283,952,16,83768,36
857,292,950,22,83812,44
