step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_merge_metadata_bytes,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_model_bytes,t2_b0_selected_providers
96,-100.0,5.0,688,344,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20391376,1962.448364,nan,20.391376,nan,120,960,476784,17268960,2644672,120
97,-100.0,5.0,672,336,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20318784,1982.767148,nan,20.318784,nan,120,960,465696,17268960,2583168,120
98,-100.0,5.0,656,328,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20246192,2003.01334,nan,20.246192,nan,120,960,454608,17268960,2521664,120
99,-100.0,5.0,668,334,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20300636,2023.313976,nan,20.300636,nan,120,960,462924,17268960,2567792,120
100,-100.0,5.0,684,342,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20373228,2043.687204,nan,20.373228,nan,120,960,474012,17268960,2629296,120
101,-100.0,5.0,678,339,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20346006,2064.03321,nan,20.346006,nan,120,960,469854,17268960,2606232,120
102,-100.0,5.0,700,350,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20445820,2084.47903,nan,20.44582,nan,120,960,485100,17268960,2690800,120
103,-100.0,5.0,694,347,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20418598,2104.897628,nan,20.418598,nan,120,960,480942,17268960,2667736,120
104,-100.0,5.0,720,360,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20536560,2125.434188,nan,20.53656,nan,120,960,498960,17268960,2767680,120
105,-100.0,5.0,724,362,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20554708,2145.988896,nan,20.554708,nan,120,960,501732,17268960,2783056,120
106,-100.0,5.0,736,368,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20609152,2166.598048,nan,20.609152,nan,120,960,510048,17268960,2829184,120
107,-100.0,5.0,740,370,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20627300,2187.225348,nan,20.6273,nan,120,960,512820,17268960,2844560,120
108,-100.0,5.0,722,361,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20545634,2207.770982,nan,20.545634,nan,120,960,500346,17268960,2775368,120
109,-100.0,5.0,750,375,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20672670,2228.443652,nan,20.67267,nan,120,960,519750,17268960,2883000,120
110,-100.0,5.0,746,373,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20654522,2249.098174,nan,20.654522,nan,120,960,516978,17268960,2867624,120
111,-100.0,5.0,732,366,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20591004,2269.689178,nan,20.591004,nan,120,960,507276,17268960,2813808,120
112,-100.0,5.0,728,364,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20572856,2290.262034,nan,20.572856,nan,120,960,504504,17268960,2798432,120
113,-100.0,5.0,728,364,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20572856,2310.83489,nan,20.572856,nan,120,960,504504,17268960,2798432,120
114,-100.0,5.0,770,385,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20763410,2331.5983,nan,20.76341,nan,120,960,533610,17268960,2959880,120
115,-100.0,5.0,740,370,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20627300,2352.2256,nan,20.6273,nan,120,960,512820,17268960,2844560,120
116,-100.0,5.0,746,373,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20654522,2372.880122,nan,20.654522,nan,120,960,516978,17268960,2867624,120
117,-100.0,5.0,750,375,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20672670,2393.552792,nan,20.67267,nan,120,960,519750,17268960,2883000,120
