map_id,method_id,method_label,method_family,status,tail_rmse_db,model_transfers,final_step,source_run_directory
factor_b1_v3,learned_expert_bank_kappa2,"Learned Expert Bank, kappa=0.02",pretrained_learned_acquisition,complete,13.629349,212650,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v3/cell_grid_expert_kappa2_eval50_tail10x25
factor_b2_v1,learned_expert_bank_kappa2,"Learned Expert Bank, kappa=0.02",pretrained_learned_acquisition,complete,17.062786,33387,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v1/cell_grid_expert_kappa2_eval50_tail10x25
factor_b2_v2,learned_expert_bank_kappa2,"Learned Expert Bank, kappa=0.02",pretrained_learned_acquisition,complete,16.361985,337651,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v2/cell_grid_expert_kappa2_eval50_tail10x25
factor_b2_v3,learned_expert_bank_kappa2,"Learned Expert Bank, kappa=0.02",pretrained_learned_acquisition,missing,,,,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v3/cell_grid_expert_kappa2_eval50_tail10x25
factor_b3_v1,learned_expert_bank_kappa2,"Learned Expert Bank, kappa=0.02",pretrained_learned_acquisition,complete,27.011922,85216,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v1/cell_grid_expert_kappa2_eval50_tail10x25
factor_b3_v2,learned_expert_bank_kappa2,"Learned Expert Bank, kappa=0.02",pretrained_learned_acquisition,complete,16.813827,297383,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v2/cell_grid_expert_kappa2_eval50_tail10x25
factor_b3_v3,learned_expert_bank_kappa2,"Learned Expert Bank, kappa=0.02",pretrained_learned_acquisition,complete,13.025218,1160268,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v3/cell_grid_expert_kappa2_eval50_tail10x25
factor_b1_v1,learned_expert_bank_kappa10,"Learned Expert Bank, kappa=0.10",pretrained_learned_acquisition,complete,27.696998,10467,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v1/cell_grid_expert_kappa10_eval50_tail10x25
factor_b1_v2,learned_expert_bank_kappa10,"Learned Expert Bank, kappa=0.10",pretrained_learned_acquisition,complete,19.627178,10962,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v2/cell_grid_expert_kappa10_eval50_tail10x25
factor_b1_v3,learned_expert_bank_kappa10,"Learned Expert Bank, kappa=0.10",pretrained_learned_acquisition,complete,14.078452,8743,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v3/cell_grid_expert_kappa10_eval50_tail10x25
factor_b2_v1,learned_expert_bank_kappa10,"Learned Expert Bank, kappa=0.10",pretrained_learned_acquisition,complete,17.563190,7644,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v1/cell_grid_expert_kappa10_eval50_tail10x25
factor_b2_v2,learned_expert_bank_kappa10,"Learned Expert Bank, kappa=0.10",pretrained_learned_acquisition,complete,17.875508,92093,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v2/cell_grid_expert_kappa10_eval50_tail10x25
factor_b2_v3,learned_expert_bank_kappa10,"Learned Expert Bank, kappa=0.10",pretrained_learned_acquisition,complete,16.914097,172865,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v3/cell_grid_expert_kappa10_eval50_tail10x25
factor_b3_v1,learned_expert_bank_kappa10,"Learned Expert Bank, kappa=0.10",pretrained_learned_acquisition,complete,27.487474,9139,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v1/cell_grid_expert_kappa10_eval50_tail10x25
factor_b3_v2,learned_expert_bank_kappa10,"Learned Expert Bank, kappa=0.10",pretrained_learned_acquisition,complete,17.077521,25944,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v2/cell_grid_expert_kappa10_eval50_tail10x25
factor_b3_v3,learned_expert_bank_kappa10,"Learned Expert Bank, kappa=0.10",pretrained_learned_acquisition,complete,15.829070,219877,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v3/cell_grid_expert_kappa10_eval50_tail10x25
factor_b1_v1,learned_expert_bank_kappa50,"Learned Expert Bank, kappa=0.50",pretrained_learned_acquisition,complete,28.160369,3932,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v1/cell_grid_expert_kappa50_eval50_tail10x25
factor_b1_v2,learned_expert_bank_kappa50,"Learned Expert Bank, kappa=0.50",pretrained_learned_acquisition,complete,20.287971,6871,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v2/cell_grid_expert_kappa50_eval50_tail10x25
factor_b1_v3,learned_expert_bank_kappa50,"Learned Expert Bank, kappa=0.50",pretrained_learned_acquisition,complete,14.078452,4499,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v3/cell_grid_expert_kappa50_eval50_tail10x25
factor_b2_v1,learned_expert_bank_kappa50,"Learned Expert Bank, kappa=0.50",pretrained_learned_acquisition,complete,20.528781,2747,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v1/cell_grid_expert_kappa50_eval50_tail10x25
factor_b2_v2,learned_expert_bank_kappa50,"Learned Expert Bank, kappa=0.50",pretrained_learned_acquisition,complete,18.681501,30502,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v2/cell_grid_expert_kappa50_eval50_tail10x25
factor_b2_v3,learned_expert_bank_kappa50,"Learned Expert Bank, kappa=0.50",pretrained_learned_acquisition,complete,19.279792,14262,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v3/cell_grid_expert_kappa50_eval50_tail10x25
factor_b3_v1,learned_expert_bank_kappa50,"Learned Expert Bank, kappa=0.50",pretrained_learned_acquisition,complete,27.746245,5438,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v1/cell_grid_expert_kappa50_eval50_tail10x25
factor_b3_v2,learned_expert_bank_kappa50,"Learned Expert Bank, kappa=0.50",pretrained_learned_acquisition,complete,17.918387,7556,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v2/cell_grid_expert_kappa50_eval50_tail10x25
factor_b3_v3,learned_expert_bank_kappa50,"Learned Expert Bank, kappa=0.50",pretrained_learned_acquisition,complete,16.202073,50996,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v3/cell_grid_expert_kappa50_eval50_tail10x25
factor_b1_v1,local_only,Local only,reference,complete,33.282427,0,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v1/cell_grid_local_only_eval50_tail10x25
factor_b1_v2,local_only,Local only,reference,complete,28.947129,0,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v2/cell_grid_local_only_eval50_tail10x25
factor_b1_v3,local_only,Local only,reference,complete,33.325042,0,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v3/cell_grid_local_only_eval50_tail10x25
factor_b2_v1,local_only,Local only,reference,complete,23.933107,0,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v1/cell_grid_local_only_eval50_tail10x25
factor_b2_v2,local_only,Local only,reference,complete,26.597711,0,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v2/cell_grid_local_only_eval50_tail10x25
factor_b2_v3,local_only,Local only,reference,complete,26.678726,0,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v3/cell_grid_local_only_eval50_tail10x25
factor_b3_v1,local_only,Local only,reference,complete,28.158254,0,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v1/cell_grid_local_only_eval50_tail10x25
factor_b3_v2,local_only,Local only,reference,complete,23.748005,0,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v2/cell_grid_local_only_eval50_tail10x25
factor_b3_v3,local_only,Local only,reference,complete,28.016016,0,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v3/cell_grid_local_only_eval50_tail10x25
