step,mode,receiver_idx,new_rewards,replay_size,train_steps,loss
17,t2_b0,49,51,81,4,0.40903565287590027
17,t2_b0,50,58,84,4,1.526782512664795
17,t2_b0,51,8,52,0,
17,t2_b0,55,3,28,0,
17,t2_b0,56,1,33,0,
17,t2_b0,57,3,37,0,
18,t2_b0,0,5,56,0,
18,t2_b0,2,4,37,0,
18,t2_b0,3,4,18,0,
18,t2_b0,4,31,53,0,
18,t2_b0,5,3,23,0,
18,t2_b0,6,3,30,0,
18,t2_b0,7,3,14,0,
18,t2_b0,8,3,24,0,
18,t2_b0,10,5,38,0,
18,t2_b0,11,6,46,0,
18,t2_b0,12,5,44,0,
18,t2_b0,13,5,44,0,
18,t2_b0,14,7,55,0,
18,t2_b0,15,9,67,4,0.2598147690296173
18,t2_b0,16,9,64,4,0.3542642295360565
18,t2_b0,18,4,35,0,
18,t2_b0,19,4,20,0,
18,t2_b0,20,6,59,0,
18,t2_b0,21,3,47,0,
18,t2_b0,23,5,38,0,
18,t2_b0,24,6,40,0,
18,t2_b0,25,7,40,0,
18,t2_b0,27,8,45,0,
18,t2_b0,28,6,71,8,0.849211573600769
18,t2_b0,29,6,42,0,
18,t2_b0,30,1,32,0,
18,t2_b0,31,8,68,4,0.5620962381362915
18,t2_b0,32,3,41,0,
18,t2_b0,33,4,42,0,
18,t2_b0,34,6,42,0,
18,t2_b0,35,9,64,4,1.6565561294555664
18,t2_b0,36,5,43,0,
18,t2_b0,37,8,62,0,
18,t2_b0,38,5,43,0,
18,t2_b0,40,7,46,0,
18,t2_b0,41,8,66,4,0.3377600908279419
18,t2_b0,42,4,50,0,
18,t2_b0,43,9,63,0,
18,t2_b0,44,3,49,0,
18,t2_b0,45,12,68,4,1.3672376871109009
18,t2_b0,46,5,46,0,
18,t2_b0,47,4,47,0,
18,t2_b0,48,11,75,8,1.1876813173294067
18,t2_b0,51,6,58,0,
18,t2_b0,54,55,100,4,1.0700186491012573
18,t2_b0,55,4,32,0,
18,t2_b0,56,9,42,0,
18,t2_b0,57,57,94,4,1.2507905960083008
19,t2_b0,0,7,63,0,
19,t2_b0,2,5,42,0,
19,t2_b0,3,2,20,0,
19,t2_b0,5,4,27,0,
19,t2_b0,6,8,38,0,
19,t2_b0,7,3,17,0,
19,t2_b0,8,38,62,0,
19,t2_b0,10,3,41,0,
19,t2_b0,11,6,52,0,
19,t2_b0,12,5,49,0,
19,t2_b0,13,7,51,0,
19,t2_b0,14,8,63,0,
19,t2_b0,15,4,71,8,0.30116474628448486
19,t2_b0,16,4,68,8,0.33717483282089233
19,t2_b0,17,37,91,4,1.2379682064056396
19,t2_b0,18,7,42,0,
19,t2_b0,19,2,22,0,
19,t2_b0,20,9,68,4,2.343165636062622
19,t2_b0,21,6,53,0,
19,t2_b0,23,2,40,0,
19,t2_b0,24,3,43,0,
19,t2_b0,25,6,46,0,
19,t2_b0,27,4,49,0,
19,t2_b0,28,8,79,12,1.6383388042449951
19,t2_b0,29,5,47,0,
19,t2_b0,30,4,36,0,
19,t2_b0,31,7,75,8,1.1064988374710083
19,t2_b0,32,4,45,0,
19,t2_b0,33,7,49,0,
19,t2_b0,34,6,48,0,
19,t2_b0,35,6,70,8,2.239957571029663
19,t2_b0,36,3,46,0,
19,t2_b0,37,9,71,4,1.2569082975387573
19,t2_b0,38,36,79,4,1.0883803367614746
19,t2_b0,39,6,39,0,
19,t2_b0,40,4,50,0,
19,t2_b0,41,5,71,8,0.5376463532447815
19,t2_b0,42,5,55,0,
19,t2_b0,43,6,69,4,1.52634859085083
19,t2_b0,44,6,55,0,
19,t2_b0,45,7,75,8,1.7703168392181396
19,t2_b0,46,5,51,0,
19,t2_b0,47,5,52,0,
19,t2_b0,48,3,78,12,1.4911558628082275
19,t2_b0,51,7,65,4,1.641390085220337
19,t2_b0,55,6,38,0,
19,t2_b0,56,5,47,0,
20,t2_b0,0,8,71,4,1.09256112575531
20,t2_b0,2,4,46,0,
20,t2_b0,3,5,25,0,
20,t2_b0,5,4,31,0,
20,t2_b0,6,7,45,0,
20,t2_b0,7,2,19,0,
20,t2_b0,9,8,39,0,
20,t2_b0,10,5,46,0,
20,t2_b0,11,5,57,0,
20,t2_b0,12,6,55,0,
20,t2_b0,13,9,60,0,
20,t2_b0,14,5,68,4,1.397135853767395
20,t2_b0,15,3,74,12,0.3196970224380493
20,t2_b0,16,8,76,12,0.3116137385368347
20,t2_b0,18,5,47,0,
20,t2_b0,19,2,24,0,
20,t2_b0,20,7,75,8,2.347088098526001
20,t2_b0,21,5,58,0,
20,t2_b0,23,6,46,0,
20,t2_b0,24,6,49,0,
20,t2_b0,25,8,54,0,
20,t2_b0,27,8,57,0,
20,t2_b0,28,8,87,16,1.7833077907562256
20,t2_b0,29,4,51,0,
20,t2_b0,30,5,41,0,
20,t2_b0,31,9,84,12,1.2038062810897827
20,t2_b0,32,4,49,0,
20,t2_b0,33,6,55,0,
20,t2_b0,34,7,55,0,
20,t2_b0,35,8,78,12,2.1952967643737793
20,t2_b0,36,4,50,0,
20,t2_b0,37,7,78,8,1.0150952339172363
20,t2_b0,39,8,47,0,
20,t2_b0,40,9,59,0,
20,t2_b0,41,4,75,12,0.722771167755127
20,t2_b0,42,5,60,0,
20,t2_b0,43,6,75,8,1.6561044454574585
20,t2_b0,44,6,61,0,
20,t2_b0,45,8,83,12,1.6581705808639526
20,t2_b0,46,4,55,0,
