step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0_train_updates,train_updates_this_step
936,0,12,3,2659,3
937,0,14,3,2662,3
938,0,12,3,2665,3
939,0,10,2,2667,2
940,0,14,3,2670,3
941,0,14,3,2673,3
942,0,16,3,2676,3
943,0,16,3,2679,3
944,0,16,3,2682,3
945,0,14,3,2685,3
946,0,14,3,2688,3
947,0,14,3,2691,3
948,0,16,4,2695,4
949,0,16,3,2698,3
950,0,16,2,2700,2
951,0,14,2,2702,2
952,0,12,2,2704,2
953,0,10,2,2706,2
954,0,12,4,2710,4
955,0,16,3,2713,3
956,0,14,3,2716,3
957,0,14,2,2718,2
958,0,16,3,2721,3
959,0,16,2,2723,2
960,0,16,2,2725,2
961,0,20,3,2728,3
962,0,22,3,2731,3
963,0,20,2,2733,2
964,0,22,2,2735,2
965,0,20,2,2737,2
966,0,18,2,2739,2
967,0,18,3,2742,3
968,0,14,3,2745,3
969,0,12,3,2748,3
970,0,10,3,2751,3
971,0,10,3,2754,3
972,0,10,3,2757,3
973,0,12,4,2761,4
974,0,12,4,2765,4
975,0,10,3,2768,3
976,0,8,3,2771,3
977,0,6,2,2773,2
978,0,6,2,2775,2
979,0,8,3,2778,3
980,0,6,2,2780,2
981,0,10,4,2784,4
982,0,12,4,2788,4
983,0,12,4,2792,4
984,0,12,4,2796,4
985,0,12,4,2800,4
986,0,14,4,2804,4
987,0,14,4,2808,4
988,0,14,4,2812,4
989,0,14,4,2816,4
990,0,14,4,2820,4
991,0,18,4,2824,4
992,0,18,3,2827,3
993,0,20,3,2830,3
994,0,22,3,2833,3
995,0,20,4,2837,4
996,0,18,2,2839,2
997,0,12,2,2841,2
998,0,8,3,2844,3
999,0,6,3,2847,3
1000,0,4,2,2849,2
