step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0_train_updates,train_updates_this_step
832,3376,732,351,134872,188
833,3397,758,348,135064,192
834,3296,764,443,135260,196
835,3323,770,343,135444,184
836,3316,766,402,135644,200
837,3199,746,450,135836,192
838,3084,768,498,136024,188
839,3096,748,341,136192,168
840,3116,768,346,136356,164
841,3088,760,396,136520,164
842,3226,756,223,136672,152
843,3295,760,287,136828,156
844,3360,752,281,136992,164
845,3388,766,356,137152,160
846,3471,756,303,137312,160
847,3560,744,271,137476,164
848,3515,732,355,137660,184
849,3491,728,347,137840,180
850,3434,772,361,138008,168
851,3411,808,315,138180,172
852,3422,836,276,138320,140
853,3331,868,371,138444,124
854,3453,870,139,138552,108
855,3498,908,196,138656,104
856,3624,952,148,138756,100
857,3777,950,120,138852,96
858,3761,968,250,138960,108
859,3701,962,285,139060,100
860,3674,940,226,139156,96
861,3664,956,189,139244,88
862,3654,926,178,139332,88
863,3604,958,256,139424,92
864,3611,974,185,139500,76
865,3641,932,158,139572,72
866,3653,906,171,139644,72
867,3634,890,193,139716,72
868,3764,896,80,139792,76
869,3697,910,238,139884,92
870,3758,928,145,139972,88
871,3773,966,182,140068,96
872,3799,960,152,140160,92
873,3886,956,121,140260,100
874,3874,922,195,140368,108
875,3804,880,249,140480,112
876,3878,872,129,140588,108
877,3790,854,259,140708,120
878,3749,822,227,140824,116
879,3699,794,227,140944,120
880,3598,766,275,141072,128
881,3636,756,152,141196,124
882,3487,742,318,141328,132
883,3379,738,303,141452,124
884,3329,740,260,141568,116
885,3289,726,270,141696,128
886,3334,728,184,141812,116
887,3260,720,305,141952,140
888,3103,722,389,142096,144
889,2944,734,399,142244,148
890,3019,748,214,142396,152
891,3048,736,321,142548,152
892,3055,722,327,142712,164
893,3054,724,348,142880,168
894,3055,702,350,143048,168
895,3092,706,289,143212,164
896,2877,716,533,143380,168
897,2966,728,241,143528,148
898,2836,760,479,143696,168
899,2926,748,285,143856,160
900,2951,768,334,144016,160
901,3055,774,299,144168,152
902,3161,822,285,144324,156
903,3139,798,385,144480,156
904,3174,798,336,144632,152
905,3364,804,194,144780,148
906,3503,794,245,144952,172
907,3655,806,223,145116,164
908,3668,802,321,145296,180
909,3687,822,351,145472,176
910,3789,832,258,145644,172
911,3745,810,346,145824,180
912,3657,780,410,146008,184
913,3627,784,348,146200,192
914,3569,784,349,146400,200
915,3461,812,449,146600,200
916,3446,776,349,146784,184
917,3428,778,357,146968,184
918,3429,784,370,147152,184
919,3389,768,404,147340,188
920,3300,764,433,147520,180
921,3266,748,381,147696,176
922,3142,746,473,147872,176
923,2997,746,509,148044,172
924,2972,748,384,148200,156
925,3038,770,330,148356,156
926,3049,732,362,148508,152
927,3174,744,241,148652,144
928,3137,738,399,148800,148
929,3056,748,409,148944,144
930,3181,746,256,149088,144
931,3226,748,321,149232,144
932,3377,748,230,149380,148
933,3314,768,425,149552,172
934,3421,772,287,149720,168
935,3376,802,440,149896,176
936,3338,784,408,150068,172
937,3416,788,339,150236,168
938,3467,794,329,150404,168
939,3509,776,323,150580,176
940,3397,788,490,150764,184
941,3440,776,319,150932,168
942,3472,770,338,151100,168
943,3314,770,508,151276,176
944,3372,760,319,151436,160
945,3464,758,312,151604,168
946,3269,756,556,151784,180
947,3309,766,336,151948,164
948,3404,756,302,152112,164
949,3268,736,487,152276,164
950,3271,726,329,152440,164
951,3276,738,342,152604,164
952,3177,724,461,152772,168
953,3272,724,271,152936,164
954,3266,736,367,153104,168
955,3269,772,372,153264,160
956,3241,786,418,153432,168
957,3314,790,311,153592,160
958,3222,784,454,153752,160
959,3267,770,326,153908,156
960,3411,764,202,154060,152
961,3439,760,293,154216,156
962,3506,754,250,154384,168
963,3411,762,402,154544,160
964,3441,776,294,154696,152
965,3327,750,409,154860,164
966,3237,792,432,155028,168
967,3330,824,265,155176,148
968,3362,812,317,155336,160
969,3372,788,348,155500,164
970,3424,776,316,155660,160
971,3503,784,283,155824,164
972,3485,776,371,155984,160
973,3485,788,339,156156,172
974,3555,784,311,156328,172
975,3631,766,318,156504,176
976,3653,778,352,156696,192
977,3650,766,391,156892,196
978,3680,784,372,157088,196
979,3719,792,357,157284,196
980,3638,782,477,157480,196
981,3688,790,352,157668,188
982,3690,788,404,157856,188
983,3686,776,378,158048,192
984,3737,790,336,158240,192
985,3801,828,343,158420,180
986,3814,864,347,158588,168
987,3816,838,345,158748,160
988,3855,822,268,158908,160
