step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_merge_metadata_bytes,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_model_bytes,t2_b0_selected_providers
55,-100.0,5.0,816,408,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,64578660,3244.114514,nan,64.57866,nan,423,3384,565488,60873084,3136704,423
56,-100.0,5.0,810,405,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,61960950,3306.075464,nan,61.96095,nan,405,3240,561330,58282740,3113640,405
57,-100.0,5.0,810,405,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,55484730,3361.560194,nan,55.48473,nan,360,2880,561330,51806880,3113640,360
58,-100.0,5.0,810,405,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,62680530,3424.240724,nan,62.68053,nan,410,3280,561330,59002280,3113640,410
59,-100.0,5.0,810,405,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,63544026,3487.78475,nan,63.544026,nan,416,3328,561330,59865728,3113640,416
60,-100.0,5.0,800,400,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,61915580,3549.70033,nan,61.91558,nan,405,3240,554400,58282740,3075200,405
61,-100.0,5.0,798,399,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,61474758,3611.175088,nan,61.474758,nan,402,3216,553014,57851016,3067512,402
62,-100.0,5.0,774,387,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,62948946,3674.124034,nan,62.948946,nan,413,3304,536382,59434004,2975256,413
63,-100.0,5.0,768,384,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56877252,3731.001286,nan,56.877252,nan,371,2968,532224,53389868,2952192,371
64,-100.0,5.0,790,395,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,61294546,3792.295832,nan,61.294546,nan,401,3208,547470,57707108,3036760,401
65,-100.0,5.0,794,397,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56563466,3848.859298,nan,56.563466,nan,368,2944,550242,52958144,3052136,368
66,-100.0,5.0,786,393,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,58973742,3907.83304,nan,58.973742,nan,385,3080,544698,55404580,3021384,385
67,-100.0,5.0,818,409,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,66746474,3974.579514,nan,66.746474,nan,438,3504,566874,63031704,3144392,438
68,-100.0,5.0,816,408,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,64002996,4038.58251,nan,64.002996,nan,419,3352,565488,60297452,3136704,419
69,-100.0,5.0,818,409,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,61853330,4100.43584,nan,61.85333,nan,404,3232,566874,58138832,3144392,404
70,-100.0,5.0,816,408,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,61268592,4161.704432,nan,61.268592,nan,400,3200,565488,57563200,3136704,400
71,-100.0,5.0,818,409,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60845918,4222.55035,nan,60.845918,nan,397,3176,566874,57131476,3144392,397
72,-100.0,5.0,806,403,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,62806298,4285.356648,nan,62.806298,nan,411,3288,558558,59146188,3098264,411
73,-100.0,5.0,796,398,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,62904844,4348.261492,nan,62.904844,nan,412,3296,551628,59290096,3059824,412
74,-100.0,5.0,780,390,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,59378268,4407.63976,nan,59.378268,nan,388,3104,540540,55836304,2998320,388
75,-100.0,5.0,748,374,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56498680,4464.13844,nan,56.49868,nan,369,2952,518364,53102052,2875312,369
76,-100.0,5.0,758,379,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60429782,4524.568222,nan,60.429782,nan,396,3168,525294,56987568,2913752,396
