step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_merge_metadata_bytes,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_model_bytes,t2_b0_selected_providers
105,-100.0,5.0,762,381,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,12811734,2080.97326,nan,12.811734,nan,65,520,528066,9354020,2929128,65
106,-100.0,5.0,768,384,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,14565948,2095.539208,nan,14.565948,nan,77,616,532224,11080916,2952192,77
107,-100.0,5.0,760,380,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,15393148,2110.932356,nan,15.393148,nan,83,664,526680,11944364,2921440,83
108,-100.0,5.0,774,387,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,13585758,2124.518114,nan,13.585758,nan,70,560,536382,10073560,2975256,70
109,-100.0,5.0,764,382,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,15123464,2139.641578,nan,15.123464,nan,81,648,529452,11656548,2936816,81
110,-100.0,5.0,738,369,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,16012914,2155.654492,nan,16.012914,nan,88,704,511434,12663904,2836872,88
111,-100.0,5.0,716,358,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,11019956,2166.674448,nan,11.019956,nan,54,432,496188,7771032,2752304,54
112,-100.0,5.0,718,359,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,11460778,2178.135226,nan,11.460778,nan,57,456,497574,8202756,2759992,57
113,-100.0,5.0,734,367,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,11677286,2189.812512,nan,11.677286,nan,58,464,508662,8346664,2821496,58
114,-100.0,5.0,764,382,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,12676892,2202.489404,nan,12.676892,nan,64,512,529452,9210112,2936816,64
115,-100.0,5.0,776,388,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,11004344,2213.493748,nan,11.004344,nan,52,416,537768,7483216,2982944,52
116,-100.0,5.0,782,391,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,13190306,2226.684054,nan,13.190306,nan,67,536,541926,9641836,3006008,67
117,-100.0,5.0,772,386,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,9690952,2236.375006,nan,9.690952,nan,43,344,534996,6188044,2967568,43
118,-100.0,5.0,782,391,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,10455902,2246.830908,nan,10.455902,nan,48,384,541926,6907584,3006008,48
119,-100.0,5.0,748,374,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,9582064,2256.412972,nan,9.582064,nan,43,344,518364,6188044,2875312,43
120,-100.0,5.0,738,369,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,12846762,2269.259734,nan,12.846762,nan,66,528,511434,9497928,2836872,66
121,-100.0,5.0,730,365,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,11227390,2280.487124,nan,11.22739,nan,55,440,505890,7914940,2806120,55
122,-100.0,5.0,724,362,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,12063664,2292.550788,nan,12.063664,nan,61,488,501732,8778388,2783056,61
123,-100.0,5.0,714,357,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,11442630,2303.993418,nan,11.44263,nan,57,456,494802,8202756,2744616,57
