method,method_label,zone,replicate,valid_tail_evaluations,excluded_tail_steps,greedy_total,greedy_feasible_rmse,greedy_infeasible_rmse,communication_mb_per_s,run_directory
central,Central,factor_b2_v3,1,10,,10.052289286521926,7.155611302638593,14.360008190325066,0.0,results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v3/cell_grid_central_eval50_tail10x25
central,Central,factor_b2_v3,2,10,,10.223928750822049,8.388192659381918,13.293081492946266,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b2_v3/rep2/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b2_v3,3,10,,9.843881804669547,8.13990757013706,12.711849718990436,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b2_v3/rep3/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b2_v3,4,10,,9.703339045310097,7.180499895178573,13.566334290943635,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b2_v3/rep4/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b2_v3,5,10,,9.631155857294852,6.615604059061037,14.005350007605392,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b2_v3/rep5/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b3_v1,1,10,,12.059029661673152,13.030704205530602,11.152665266851187,0.0,results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v1/cell_grid_central_eval50_tail10x25
central,Central,factor_b3_v1,2,10,,11.574368272374288,13.146755491486669,10.023150243964238,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b3_v1/rep2/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b3_v1,3,10,,10.596119217015104,11.395949237269427,9.838594872050411,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b3_v1/rep3/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b3_v1,4,10,,11.428100428676727,11.63509534068044,11.242697035897896,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b3_v1/rep4/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b3_v1,5,9,1724,11.619755775045471,11.64293873184146,11.595640527570218,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b3_v1/rep5/central_paper_final_full1800_eval50_tail10x25
