step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
50,-47.5,57.5,186,93,0,0.0,0.0,0,0.0,57.5,5,537271.365314496,37.44310758725877,10.631720383397045,93,186,5,7,186,0,12,-105.0,70.5,-47.5,5.0,21247484,847.061756,nan,21.247484,nan,7,4176,2024120,14,19218264,186,7,924,448,112,476,119,231,7,0,0,7
51,-47.5,57.5,198,99,0,0.0,0.0,0,0.0,57.5,4,510331.0831244325,23.993545515756622,11.873444580679964,99,198,4,9,198,0,13,-105.0,70.5,-47.5,5.0,23066604,870.12836,nan,23.066604,nan,9,4824,2602440,18,20458152,198,9,1188,576,144,612,153,297,9,0,0,9
52,-47.5,57.5,206,103,0,0.0,0.0,0,0.0,57.5,7,562500.0,45.6124761650094,18.465238210037015,103,206,7,5,206,0,12,-105.0,70.5,-47.5,5.0,22736460,892.86482,nan,22.73646,nan,5,5256,1445800,10,21284744,206,5,660,320,80,340,85,165,5,0,0,5
53,-47.5,57.5,226,113,0,0.0,0.0,0,0.0,57.5,8,522823.64072175696,35.68010915944989,5.687961288326653,113,226,8,9,226,0,17,-105.0,70.5,-47.5,5.0,25961476,918.826296,nan,25.961476,nan,9,6624,2602440,18,23351224,226,9,1188,576,144,612,153,297,9,0,0,9
54,-47.5,57.5,228,114,0,0.0,0.0,0,0.0,57.5,8,562500.0,34.139600097766,18.43602660862875,114,228,8,7,228,0,15,-105.0,70.5,-47.5,5.0,25589036,944.415332,nan,25.589036,nan,7,6120,2024120,14,23557872,228,7,924,448,112,476,119,231,7,0,0,7
55,-47.5,57.5,232,116,0,0.0,0.0,0,0.0,57.5,8,562500.0,43.121740977705215,26.971156164351278,116,232,8,7,232,0,15,-105.0,70.5,-47.5,5.0,26003124,970.418456,nan,26.003124,nan,7,6912,2024120,14,23971168,232,7,924,448,112,476,119,231,7,0,0,7
56,-47.5,57.5,226,113,0,0.0,0.0,0,0.0,57.5,8,562500.0,38.58670993273713,26.474239266569306,113,226,8,6,226,0,14,-105.0,70.5,-47.5,5.0,25094032,995.512488,nan,25.094032,nan,6,7056,1734960,12,23351224,226,6,792,384,96,408,102,198,6,0,0,6
57,-47.5,57.5,236,118,0,0.0,0.0,0,0.0,57.5,7,546594.2925734587,36.103205395631285,13.414335062322793,118,236,7,7,236,0,14,-105.0,70.5,-47.5,5.0,26416348,1021.928836,nan,26.416348,nan,7,6840,2024120,14,24384464,236,7,924,448,112,476,119,231,7,0,0,7
58,-47.5,57.5,238,119,0,0.0,0.0,0,0.0,57.5,8,491928.82557743945,34.151869703493084,6.394199610803048,119,238,8,8,238,0,16,-105.0,70.5,-47.5,5.0,26913080,1048.841916,nan,26.91308,nan,8,7632,2313280,16,24591112,238,8,1056,512,128,544,136,264,8,0,0,8
59,-47.5,57.5,224,112,0,0.0,0.0,0,0.0,57.5,8,562500.0,35.2271538103825,18.21879349652242,112,224,8,7,224,0,15,-105.0,70.5,-47.5,5.0,25176460,1074.018376,nan,25.17646,nan,7,6840,2024120,14,23144576,224,7,924,448,112,476,119,231,7,0,0,7
