step,feasible_contact_pairs,feasible_contact_decisions,t2_b0_events,t2_b0_pull_events,t2_b0_valid_pull_events,t2_b0_comm_mb,t2_b0_comm_cumulative_mb,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_bytes,t2_b0_training_sample_bytes
285,2081,4162,34,34,34,1.60208,579.572464,0,1597456,0,0
286,2254,4508,34,34,34,1.60208,581.174544,0,1597456,0,0
287,2378,4756,35,35,35,1.6492,582.823744,0,1644440,0,0
288,2497,4994,29,29,29,1.36648,584.190224,0,1362536,0,0
289,2665,5330,55,55,54,2.591464,586.781688,0,2584120,0,0
290,2733,5466,43,43,43,2.02616,588.807848,0,2020312,0,0
291,2840,5680,43,43,43,2.02616,590.834008,0,2020312,0,0
292,2839,5678,36,36,36,1.69632,592.530328,0,1691424,0,0
293,2659,5318,40,40,39,1.884664,594.414992,0,1879360,0,0
294,2723,5446,40,40,40,1.8848,596.299792,0,1879360,0,0
295,2602,5204,28,28,28,1.31936,597.619152,0,1315552,0,0
296,2841,5682,46,46,46,2.16752,599.786672,0,2161264,0,0
297,2619,5238,43,43,43,2.02616,601.812832,0,2020312,0,0
298,2532,5064,45,45,45,2.1204,603.933232,0,2114280,0,0
299,2366,4732,37,37,37,1.74344,605.676672,0,1738408,0,0
300,2449,4898,31,31,30,1.460584,607.137256,0,1456504,0,0
301,2623,5246,34,34,34,1.60208,608.739336,0,1597456,0,0
302,2682,5364,28,28,28,1.31936,610.058696,0,1315552,0,0
303,2626,5252,29,29,29,1.36648,611.425176,0,1362536,0,0
304,2620,5240,37,37,37,1.74344,613.168616,0,1738408,0,0
305,2649,5298,39,39,39,1.83768,615.006296,0,1832376,0,0
306,2692,5384,45,45,45,2.1204,617.126696,0,2114280,0,0
307,2769,5538,49,49,49,2.30888,619.435576,0,2302216,0,0
308,2669,5338,35,35,35,1.6492,621.084776,0,1644440,0,0
309,2644,5288,40,40,40,1.8848,622.969576,0,1879360,0,0
310,2588,5176,47,47,47,2.21464,625.184216,0,2208248,0,0
311,2830,5660,47,47,47,2.21464,627.398856,0,2208248,0,0
312,3068,6136,49,49,49,2.30888,629.707736,0,2302216,0,0
313,3069,6138,45,45,45,2.1204,631.828136,0,2114280,0,0
314,2926,5852,36,36,36,1.69632,633.524456,0,1691424,0,0
315,2944,5888,38,38,38,1.79056,635.315016,0,1785392,0,0
316,2931,5862,49,49,49,2.30888,637.623896,0,2302216,0,0
317,2832,5664,40,40,40,1.8848,639.508696,0,1879360,0,0
318,2856,5712,27,27,27,1.27224,640.780936,0,1268568,0,0
319,2899,5798,52,52,52,2.45024,643.231176,0,2443168,0,0
320,2942,5884,29,29,29,1.36648,644.597656,0,1362536,0,0
321,2854,5708,40,40,40,1.8848,646.482456,0,1879360,0,0
322,2831,5662,43,43,43,2.02616,648.508616,0,2020312,0,0
323,2794,5588,37,37,37,1.74344,650.252056,0,1738408,0,0
324,2817,5634,37,37,37,1.74344,651.995496,0,1738408,0,0
325,3087,6174,38,38,38,1.79056,653.786056,0,1785392,0,0
326,3045,6090,57,57,57,2.68584,656.471896,0,2678088,0,0
327,3118,6236,54,54,54,2.54448,659.016376,0,2537136,0,0
328,2965,5930,47,47,47,2.21464,661.231016,0,2208248,0,0
329,2903,5806,40,40,40,1.8848,663.115816,0,1879360,0,0
330,2606,5212,43,43,43,2.02616,665.141976,0,2020312,0,0
331,2523,5046,41,41,41,1.93192,667.073896,0,1926344,0,0
332,2569,5138,42,42,42,1.97904,669.052936,0,1973328,0,0
333,2609,5218,53,53,53,2.49736,671.550296,0,2490152,0,0
334,2727,5454,36,36,36,1.69632,673.246616,0,1691424,0,0
335,2682,5364,54,54,54,2.54448,675.791096,0,2537136,0,0
336,2534,5068,39,39,39,1.83768,677.628776,0,1832376,0,0
337,2407,4814,30,30,28,1.413328,679.042104,0,1409520,0,0
338,2556,5112,35,35,35,1.6492,680.691304,0,1644440,0,0
339,2741,5482,48,48,48,2.26176,682.953064,0,2255232,0,0
340,2748,5496,35,35,35,1.6492,684.602264,0,1644440,0,0
341,2884,5768,46,46,46,2.16752,686.769784,0,2161264,0,0
342,2999,5998,31,31,31,1.46072,688.230504,0,1456504,0,0
