step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
55,-47.5,57.5,66,33,0,0.0,0.0,0,0.0,57.5,11,510761.4197564275,36.463266982977245,9.713706817646367,33,66,11,8,66,0,19,-105.0,70.5,-47.5,5.0,2314336,109.93096,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
56,-47.5,57.5,64,32,0,0.0,0.0,0,0.0,57.5,11,517857.8092151833,33.554218942933545,7.803038802381516,32,64,11,8,64,0,19,-105.0,70.5,-47.5,5.0,2314336,112.245296,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
57,-47.5,57.5,56,28,0,0.0,0.0,0,0.0,57.5,12,562500.0,38.10303994656551,18.584145313388483,28,56,12,6,56,0,18,-105.0,70.5,-47.5,5.0,1735752,113.981048,nan,1.735752,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,0,0,6
58,-47.5,57.5,52,26,0,0.0,0.0,0,0.0,57.5,10,562500.0,42.82343634983385,30.22475462418761,26,52,10,7,52,0,17,-105.0,70.5,-47.5,5.0,2025044,116.006092,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
59,-47.5,57.5,46,23,0,0.0,0.0,0,0.0,57.5,12,562500.0,37.37730800575691,18.692048841607484,23,46,12,7,46,0,19,-105.0,70.5,-47.5,5.0,2025044,118.031136,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
60,-47.5,57.5,48,24,0,0.0,0.0,0,0.0,57.5,12,562500.0,37.55749817681014,24.44825864702432,24,48,12,7,48,0,19,-105.0,70.5,-47.5,5.0,2025044,120.05618,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
61,-47.5,57.5,36,18,0,0.0,0.0,0,0.0,57.5,11,562500.0,37.02131789098499,22.155564483759598,18,36,11,8,36,0,19,-105.0,70.5,-47.5,5.0,2314336,122.370516,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
62,-47.5,57.5,32,16,0,0.0,0.0,0,0.0,57.5,10,562500.0,45.23374856606632,34.80493060412797,16,32,10,8,32,0,18,-105.0,70.5,-47.5,5.0,2314336,124.684852,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
63,-47.5,57.5,30,15,0,0.0,0.0,0,0.0,57.5,10,562500.0,44.972504457468105,32.781846212262934,15,30,10,7,30,0,17,-105.0,70.5,-47.5,5.0,2025044,126.709896,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
64,-47.5,57.5,36,18,0,0.0,0.0,0,0.0,57.5,9,562500.0,35.81730618038787,20.879314629820186,18,36,9,6,36,0,15,-105.0,70.5,-47.5,5.0,1735752,128.445648,nan,1.735752,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,0,0,6
