step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0.25_train_updates,train_updates_this_step
790,2568,766,361,131208,156
791,2659,768,182,131352,144
792,2634,762,333,131508,156
793,2637,752,280,131664,156
794,2740,744,196,131820,156
795,2729,740,306,131996,176
796,2732,742,301,132172,176
797,2768,748,282,132356,184
798,2809,744,263,132540,184
799,2775,730,323,132728,188
800,2700,738,374,132924,196
801,2730,736,264,133112,188
802,2674,726,322,133304,192
803,2572,706,345,133492,188
804,2563,688,263,133676,184
805,2519,694,300,133856,180
806,2473,698,302,134036,180
807,2443,704,296,134216,180
808,2462,720,274,134392,176
809,2423,716,302,134568,176
810,2359,720,342,134748,180
811,2456,710,209,134916,168
812,2464,708,292,135092,176
813,2439,714,296,135268,176
814,2509,716,213,135436,168
815,2572,722,227,135608,172
816,2590,732,290,135784,176
817,2539,722,352,135952,168
818,2516,736,315,136116,164
819,2641,728,193,136276,160
820,2506,754,400,136448,172
821,2595,748,220,136604,156
822,2550,750,336,136768,164
823,2546,764,292,136936,168
824,2608,756,242,137092,156
825,2629,782,297,137248,156
826,2726,788,196,137404,156
827,2756,794,289,137572,168
828,2842,818,253,137748,176
829,2843,826,338,137920,172
830,2868,822,290,138096,176
831,2742,804,428,138268,172
832,2867,802,223,138432,164
833,2859,832,359,138608,176
834,2912,846,285,138776,168
835,2968,870,294,138948,172
836,3001,884,311,139116,168
837,3140,884,237,139280,164
838,3234,898,290,139448,168
839,3198,852,395,139624,176
840,3202,816,306,139800,176
841,3054,796,446,139984,184
842,3046,782,330,140156,172
843,2901,766,448,140332,176
844,2982,772,245,140504,172
845,2954,780,350,140680,176
846,2856,792,421,140860,180
847,2871,798,315,141020,160
848,2889,782,302,141184,164
849,2972,784,252,141352,168
850,2988,784,280,141528,176
851,2938,776,353,141708,180
852,2870,794,376,141892,184
853,2929,784,268,142076,184
854,2946,800,295,142260,184
855,2974,792,299,142452,192
856,3023,816,301,142648,196
857,2845,790,476,142848,200
858,2767,774,362,143032,184
859,2708,802,365,143208,176
860,2744,788,271,143376,168
861,2661,800,399,143552,176
862,2746,816,230,143716,164
863,2782,844,326,143884,168
864,2748,804,325,144044,160
865,2871,806,215,144204,160
866,2829,794,372,144368,164
867,2915,812,250,144532,164
868,2870,812,350,144704,172
869,2853,880,373,144876,172
870,3002,880,216,145036,160
871,3048,934,337,145212,176
872,3188,926,239,145380,168
873,3248,946,324,145560,180
874,3382,978,281,145744,184
875,3536,980,230,145920,176
876,3528,982,324,146092,172
877,3656,984,220,146256,164
878,3672,986,263,146424,168
879,3667,970,291,146600,176
880,3709,962,232,146760,160
881,3747,948,183,146904,144
882,3775,950,179,147060,156
883,3788,942,177,147208,148
884,3717,986,258,147364,156
885,3690,986,213,147504,140
886,3639,938,228,147636,132
887,3593,958,223,147768,132
888,3453,932,302,147900,132
889,3370,896,241,148032,132
890,3356,898,183,148164,132
891,3296,914,277,148300,136
892,3126,850,344,148436,136
893,3000,842,320,148568,132
894,3063,868,188,148692,124
895,3086,844,217,148812,120
896,2946,800,398,148952,140
897,2841,758,359,149100,148
898,2850,772,256,149252,152
899,2716,750,407,149408,156
900,2734,748,278,149552,144
901,2781,746,259,149708,156
902,2663,754,406,149872,164
903,2775,744,213,150028,156
904,2796,750,295,150196,168
905,2872,752,245,150364,168
906,2817,758,378,150544,180
907,2832,748,303,150716,172
908,2765,738,382,150892,176
909,2794,748,274,151064,172
910,2834,752,284,151240,176
911,2782,756,365,151416,176
912,2734,740,335,151592,176
913,2795,732,233,151760,168
914,2902,724,231,151932,172
915,2898,736,332,152104,172
916,2908,734,330,152280,176
917,2876,748,367,152456,176
918,2967,742,244,152632,176
919,2896,748,408,152816,184
920,2974,756,268,152984,168
921,3021,766,286,153168,184
922,3004,774,365,153356,188
923,2963,790,363,153528,172
924,3002,760,290,153688,160
925,3098,838,249,153844,156
