step,mode,receiver_idx,new_rewards,replay_size,train_steps,loss
23,t2_b0.1,23,5,81,16,0.8320847749710083
23,t2_b0.1,24,5,94,20,0.9023473858833313
23,t2_b0.1,25,7,105,24,1.1285693645477295
23,t2_b0.1,27,4,96,20,1.7297366857528687
23,t2_b0.1,28,9,92,16,3.7864327430725098
23,t2_b0.1,29,8,86,16,28.309545516967773
23,t2_b0.1,30,8,90,16,1.7872755527496338
23,t2_b0.1,31,5,65,4,1.406144142150879
23,t2_b0.1,33,2,71,8,1.956202507019043
23,t2_b0.1,34,6,41,0,
23,t2_b0.1,35,9,82,12,4.413357257843018
23,t2_b0.1,36,7,75,8,1.3452922105789185
23,t2_b0.1,38,4,52,0,
23,t2_b0.1,39,7,97,20,2.45297908782959
23,t2_b0.1,40,7,85,16,3.2471468448638916
23,t2_b0.1,41,5,73,8,1.5223124027252197
23,t2_b0.1,44,4,56,0,
23,t2_b0.1,45,5,85,16,1.0094205141067505
23,t2_b0.1,46,48,106,4,1.3490079641342163
23,t2_b0.1,47,4,48,0,
23,t2_b0.1,48,7,78,12,1.0641286373138428
23,t2_b0.1,49,3,55,0,
23,t2_b0.1,50,5,82,12,0.391389936208725
23,t2_b0.1,51,5,55,0,
23,t2_b0.1,52,8,88,12,22.502405166625977
23,t2_b0.1,53,5,76,12,1.9731117486953735
23,t2_b0.1,54,8,85,12,28.19891929626465
23,t2_b0.1,55,5,90,20,1.5361566543579102
23,t2_b0.1,56,7,67,4,26.261320114135742
23,t2_b0.1,57,3,67,8,2.7377161979675293
23,t2_b0.1,58,10,68,4,21.474964141845703
23,t2_b0.1,59,7,71,8,31.1121826171875
24,t2_b0.1,0,8,111,24,0.6036338210105896
24,t2_b0.1,1,6,70,8,12.06489372253418
24,t2_b0.1,3,8,64,4,1.105499267578125
24,t2_b0.1,4,3,83,16,0.8240072131156921
24,t2_b0.1,5,2,38,0,
24,t2_b0.1,6,5,60,0,
24,t2_b0.1,7,2,39,0,
24,t2_b0.1,8,5,45,0,
24,t2_b0.1,9,5,71,8,30.604408264160156
24,t2_b0.1,10,10,98,16,2.2925872802734375
24,t2_b0.1,11,9,93,16,2.0386528968811035
24,t2_b0.1,12,8,88,16,2.2456345558166504
24,t2_b0.1,13,5,75,8,28.27655029296875
24,t2_b0.1,14,7,100,24,0.82234126329422
24,t2_b0.1,15,7,109,24,0.8359270691871643
24,t2_b0.1,17,5,71,8,23.53289794921875
24,t2_b0.1,18,9,82,12,1.2530971765518188
24,t2_b0.1,19,3,51,0,
24,t2_b0.1,21,10,105,24,2.702171564102173
24,t2_b0.1,22,7,73,8,5.1444268226623535
24,t2_b0.1,23,9,90,20,0.867154598236084
24,t2_b0.1,24,9,103,24,0.5835828185081482
24,t2_b0.1,25,6,111,28,1.132413387298584
24,t2_b0.1,27,7,103,24,1.7826342582702637
24,t2_b0.1,28,8,100,20,2.6127514839172363
24,t2_b0.1,29,6,92,20,28.2692928314209
24,t2_b0.1,30,7,97,20,2.1827847957611084
24,t2_b0.1,31,2,67,8,1.3403871059417725
24,t2_b0.1,33,3,74,12,1.9488073587417603
24,t2_b0.1,34,3,44,0,
24,t2_b0.1,35,7,89,16,3.6166954040527344
24,t2_b0.1,36,7,82,12,1.518035650253296
24,t2_b0.1,38,5,57,0,
24,t2_b0.1,39,4,101,24,1.9859174489974976
24,t2_b0.1,40,5,90,20,3.098538398742676
24,t2_b0.1,41,7,80,12,2.2970597743988037
24,t2_b0.1,44,1,57,0,
