step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0.25_comm_bytes,t2_b0.25_comm_cumulative_mb,t2_b0.25_comm_cumulative_vs_greedy_ratio,t2_b0.25_comm_mb,t2_b0.25_comm_vs_greedy_ratio,t2_b0.25_events,t2_b0.25_merge_metadata_bytes,t2_b0.25_metadata_bytes,t2_b0.25_model_bytes,t2_b0.25_policy_model_bytes,t2_b0.25_selected_providers
97,-100.0,5.0,732,366,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,45632388,5397.869104,nan,45.632388,nan,294,2352,507276,42308952,2813808,294
98,-100.0,5.0,738,369,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,50552754,5448.421858,nan,50.552754,nan,328,2624,511434,47201824,2836872,328
99,-100.0,5.0,768,384,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51696276,5500.118134,nan,51.696276,nan,335,2680,532224,48209180,2952192,335
100,-100.0,5.0,760,380,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,50076904,5550.195038,nan,50.076904,nan,324,2592,526680,46626192,2921440,324
101,-100.0,5.0,760,380,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,50796484,5600.991522,nan,50.796484,nan,329,2632,526680,47345732,2921440,329
102,-100.0,5.0,772,386,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53297500,5654.289022,nan,53.2975,nan,346,2768,534996,49792168,2967568,346
103,-100.0,5.0,784,392,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54215440,5708.504462,nan,54.21544,nan,352,2816,543312,50655616,3013696,352
104,-100.0,5.0,764,382,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,48368060,5756.872522,nan,48.36806,nan,312,2496,529452,44899296,2936816,312
105,-100.0,5.0,762,381,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52388634,5809.261156,nan,52.388634,nan,340,2720,528066,48928720,2929128,340
106,-100.0,5.0,768,384,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,49393620,5858.654776,nan,49.39362,nan,319,2552,532224,45906652,2952192,319
107,-100.0,5.0,760,380,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52811308,5911.466084,nan,52.811308,nan,343,2744,526680,49360444,2921440,343
108,-100.0,5.0,774,387,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51579582,5963.045666,nan,51.579582,nan,334,2672,536382,48065272,2975256,334
109,-100.0,5.0,764,382,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,50670716,6013.716382,nan,50.670716,nan,328,2624,529452,47201824,2936816,328
110,-100.0,5.0,738,369,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51416250,6065.132632,nan,51.41625,nan,334,2672,511434,48065272,2836872,334
111,-100.0,5.0,716,358,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,45128048,6110.26068,nan,45.128048,nan,291,2328,496188,41877228,2752304,291
112,-100.0,5.0,718,359,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,47295862,6157.556542,nan,47.295862,nan,306,2448,497574,44035848,2759992,306
113,-100.0,5.0,734,367,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52549430,6210.105972,nan,52.54943,nan,342,2736,508662,49216536,2821496,342
114,-100.0,5.0,764,382,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,48799808,6258.90578,nan,48.799808,nan,315,2520,529452,45331020,2936816,315
115,-100.0,5.0,776,388,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53315648,6312.221428,nan,53.315648,nan,346,2768,537768,49792168,2982944,346
116,-100.0,5.0,782,391,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,49025390,6361.246818,nan,49.02539,nan,316,2528,541926,45474928,3006008,316
117,-100.0,5.0,772,386,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,47684776,6408.931594,nan,47.684776,nan,307,2456,534996,44179756,2967568,307
118,-100.0,5.0,782,391,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52623290,6461.554884,nan,52.62329,nan,341,2728,541926,49072628,3006008,341
119,-100.0,5.0,748,374,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,47863720,6509.418604,nan,47.86372,nan,309,2472,518364,44467572,2875312,309
