step,feasible_contact_pairs,feasible_contact_decisions,t2_b0_events,t2_b0_pull_events,t2_b0_valid_pull_events,t2_b0_comm_mb,t2_b0_comm_cumulative_mb,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_bytes,t2_b0_training_sample_bytes
333,2609,5218,39,39,39,61.582,25386.289296,183080,1832376,59380840,180400
334,2727,5454,45,45,45,64.555,25450.844296,184480,2114280,62066520,183600
335,2682,5364,42,42,42,63.63154,25514.475836,186680,1973328,61042320,423500
336,2534,5068,45,45,45,60.325,25574.800836,175160,2114280,57673840,355600
337,2407,4814,36,36,35,56.921684,25631.72252,174280,1691424,54783320,267900
338,2556,5112,39,39,39,60.49384,25692.21636,189400,1832376,58174560,292200
339,2741,5482,39,39,39,64.83788,25757.05424,198240,1832376,62385160,416800
340,2748,5496,34,34,34,64.65676,25821.711,203000,1597456,62544480,307200
341,2884,5768,42,42,42,68.04124,25889.75224,213360,1973328,65639840,209000
342,2999,5998,29,29,29,70.41952,25960.17176,227400,1362536,68257240,568400
343,3022,6044,39,39,39,71.43218,26031.60394,234480,1832376,68780720,579300
344,3245,6490,57,57,57,77.80376,26109.4077,249720,2678088,73856200,1012000
345,3261,6522,48,48,48,77.34274,26186.75044,233320,2255232,74220360,627300
