method_order,method,method_label,zone,building_score,vehicle_score,replicates,rmse,rmse_ci95,feasible_rmse,feasible_rmse_ci95,nonfeasible_rmse,nonfeasible_rmse_ci95,communication_mb_per_s,communication_mb_per_s_ci95
7,every20,Every 20,factor_b3_v1,3,1,5,23.58730692675534,1.0068541313513784,33.992672528749736,1.6590710597388232,4.828230162721311,0.9255605179329945,0.106918176,0.04851676678556239
7,every20,Every 20,factor_b3_v2,3,2,5,18.137757959981286,0.3099359192688979,23.002828737546913,0.5403542258545638,12.13082749152926,1.2380204763102693,0.61445376,0.2024013080378289
7,every20,Every 20,factor_b3_v3,3,3,5,16.80314672097304,0.4730557873095185,20.84434825231449,0.9549586016761703,9.628148378169296,1.4740139585755467,0.96972352,0.2572600060766008
8,every40,Every 40,factor_b1_v1,1,1,5,30.33171774786979,3.4174845091676804,34.43162655901314,5.269094354505017,10.558275761085437,7.135438693845115,0.10727128959999999,0.0649897472896913
8,every40,Every 40,factor_b1_v2,1,2,5,25.56527065693352,2.4196407800871484,29.643408778202854,3.5613188203381183,11.158946262414434,3.529014082219367,0.1725641632,0.06151526342238562
8,every40,Every 40,factor_b1_v3,1,3,5,22.041474100022384,1.1921374712429078,22.156842038124985,1.2162527756610582,14.918926702594053,0.49509196591464694,0.27335303359999996,0.013531308768397615
8,every40,Every 40,factor_b2_v1,2,1,5,22.30198707278179,1.5226366333811698,31.351543903639016,2.979458520245013,5.2300507353255155,3.7420677314300024,0.11004782719999999,0.06092774995025114
8,every40,Every 40,factor_b2_v2,2,2,5,20.612870030571592,1.8530238560419938,28.12546918866268,3.4376109049597403,7.299368275289882,3.317980973098718,0.24044922240000002,0.11111862522470527
8,every40,Every 40,factor_b2_v3,2,3,5,21.776040673636295,1.0997190533041468,23.311307370971186,1.9577973550483592,17.507528550249056,1.917079146286831,0.628808544,0.22301924663961062
8,every40,Every 40,factor_b3_v1,3,1,5,24.78732779665483,0.9393487817502088,35.993611437315174,1.5090570182612917,4.024042955928117,0.8521396596362641,0.048244032000000006,0.020081329878958557
8,every40,Every 40,factor_b3_v2,3,2,5,20.913672763290936,1.3907839384177794,29.44284479010488,2.8305398497621104,7.366351970986173,3.728701601855245,0.2362232192,0.13604771436595833
8,every40,Every 40,factor_b3_v3,3,3,5,19.31390632230704,0.6578504322477726,24.827794716847748,1.0659108089673164,8.528833405357656,1.0572872094668502,0.46229538559999994,0.11832079817752933
9,every80,Every 80,factor_b1_v1,1,1,5,32.3569291459358,2.082045406990877,37.50724683751882,3.0275541297492223,6.230774978574765,5.424944350715431,0.048377769599999995,0.03043850899429951
9,every80,Every 80,factor_b1_v2,1,2,5,29.946434966080005,1.751884271766482,35.88257371623814,2.4248947436090664,4.555421469498599,3.3912187519462624,0.0501493728,0.03802444432425693
9,every80,Every 80,factor_b1_v3,1,3,5,23.76851667196994,0.8060203760469468,23.924720981620588,0.8213270918797716,13.923096278637718,0.8744688493797805,0.1359214496,0.007165257430536639
9,every80,Every 80,factor_b2_v1,2,1,5,24.432219280565356,1.7513165596210427,35.02504375368666,2.6410181133434527,1.9182443314728836,1.3632348788430995,0.036008070399999995,0.025324862471153307
9,every80,Every 80,factor_b2_v2,2,2,5,24.631765236869295,0.48423802502697033,34.90707376829526,0.732176404150852,3.102005420923993,0.3142115953347728,0.07078820799999999,0.01919862826724501
9,every80,Every 80,factor_b2_v3,2,3,5,23.95681678563254,1.912412306520787,27.109386574912456,2.9924278870664076,14.313866099485983,3.2858711288610025,0.3148472032,0.11057362234299094
9,every80,Every 80,factor_b3_v1,3,1,5,25.68673841370286,0.9825631023093954,37.51689912743395,1.5717007123858648,3.045025658095357,1.0211942570635524,0.0227590144,0.011187686363836344
9,every80,Every 80,factor_b3_v2,3,2,5,23.973836513425738,1.0233806485174899,35.2367424581535,1.6214662866535359,2.344037102709571,1.2798596284056898,0.0674152224,0.042716589852906654
9,every80,Every 80,factor_b3_v3,3,3,5,22.849066605067463,2.2424405927698037,30.448250483339034,3.3449079369252943,5.069565454544274,1.9794339795110265,0.17451869120000002,0.08835986682026586
10,ungated,Ungated Greedy,factor_b1_v1,1,1,5,22.39399412101518,3.9770433967507377,11.009423874699475,3.6137246650584633,38.90391749798043,5.4731949355241385,4.386819456,3.4750152067766886
10,ungated,Ungated Greedy,factor_b1_v2,1,2,5,21.245417965402215,0.639068500323296,6.355494030680964,0.6905250943748086,36.78879863536786,0.9726408324221036,25.622513856,18.603214395578004
10,ungated,Ungated Greedy,factor_b1_v3,1,3,5,7.018842852026017,0.11195805382201521,3.8992650794788517,0.18526193065071792,41.530700200134596,0.3559222270697971,57.063471264,6.76532861492332
10,ungated,Ungated Greedy,factor_b2_v1,2,1,5,32.90868047139243,6.765157433439065,15.249746186007012,4.41733582056838,43.332167217037025,8.476987870650236,6.589682784,5.014174782998204
10,ungated,Ungated Greedy,factor_b2_v2,2,2,5,23.792898699577155,1.5401849243756982,10.420130248157545,0.9220776025652457,31.770273454995,2.0603522722088345,19.038590496,7.4056221417487444
10,ungated,Ungated Greedy,factor_b2_v3,2,3,5,16.05122911214368,1.8778051122714807,9.919387281075077,0.8863891619957882,24.36363260034949,3.1858431908574807,76.994888832,52.71329214369466
10,ungated,Ungated Greedy,factor_b3_v1,3,1,5,37.50841072750005,4.752122693655557,17.032661343773523,4.976902459568375,48.5066965903847,5.177430606152612,6.137480736,3.845691201741761
10,ungated,Ungated Greedy,factor_b3_v2,3,2,5,27.978066769674577,3.173893930194756,14.977078205084302,1.4908830462252947,35.42856284127899,4.240657857182252,16.896811968,9.932716189089797
10,ungated,Ungated Greedy,factor_b3_v3,3,3,5,19.936562342038275,3.013056918727621,10.293534376467544,0.2852354150343137,27.33227741901274,4.704352176949385,51.11593516800001,25.243199247563723
