step,active_count,active_ids
387,1,dyn_a4_existing_dense_block
388,1,dyn_a4_existing_dense_block
389,1,dyn_a4_existing_dense_block
390,1,dyn_a4_existing_dense_block
391,1,dyn_a4_existing_dense_block
392,1,dyn_a4_existing_dense_block
393,1,dyn_a4_existing_dense_block
394,1,dyn_a4_existing_dense_block
395,1,dyn_a4_existing_dense_block
396,1,dyn_a4_existing_dense_block
397,1,dyn_a4_existing_dense_block
398,1,dyn_a4_existing_dense_block
399,1,dyn_a4_existing_dense_block
400,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
401,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
402,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
403,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
404,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
405,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
406,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
407,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
408,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
409,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
410,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
411,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
412,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
413,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
414,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
415,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
416,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
417,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
418,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
419,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
420,1,dyn_a4_existing_dense_block
421,1,dyn_a4_existing_dense_block
422,1,dyn_a4_existing_dense_block
423,1,dyn_a4_existing_dense_block
424,1,dyn_a4_existing_dense_block
425,0,
426,0,
427,0,
428,0,
429,0,
430,0,
431,0,
432,0,
433,0,
434,0,
435,0,
436,0,
437,0,
438,0,
439,0,
440,1,dyn_a3_existing_sparse_block
441,1,dyn_a3_existing_sparse_block
442,1,dyn_a3_existing_sparse_block
443,1,dyn_a3_existing_sparse_block
444,1,dyn_a3_existing_sparse_block
445,1,dyn_a3_existing_sparse_block
446,1,dyn_a3_existing_sparse_block
447,1,dyn_a3_existing_sparse_block
448,1,dyn_a3_existing_sparse_block
449,1,dyn_a3_existing_sparse_block
450,1,dyn_a3_existing_sparse_block
451,1,dyn_a3_existing_sparse_block
452,1,dyn_a3_existing_sparse_block
453,1,dyn_a3_existing_sparse_block
454,1,dyn_a3_existing_sparse_block
455,1,dyn_a3_existing_sparse_block
456,1,dyn_a3_existing_sparse_block
457,1,dyn_a3_existing_sparse_block
458,1,dyn_a3_existing_sparse_block
459,1,dyn_a3_existing_sparse_block
460,0,
461,0,
462,0,
463,0,
464,0,
465,0,
466,0,
467,0,
468,0,
469,0,
470,0,
471,0,
472,0,
473,0,
474,0,
475,1,dyn_a4_existing_dense_block
476,1,dyn_a4_existing_dense_block
477,1,dyn_a4_existing_dense_block
478,1,dyn_a4_existing_dense_block
479,1,dyn_a4_existing_dense_block
480,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
481,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
482,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
483,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
484,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
485,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
486,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
487,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
488,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
489,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
490,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
491,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
492,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
493,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
494,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
495,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
496,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
497,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
498,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
499,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
500,1,dyn_a4_existing_dense_block
501,1,dyn_a4_existing_dense_block
502,1,dyn_a4_existing_dense_block
503,1,dyn_a4_existing_dense_block
504,1,dyn_a4_existing_dense_block
505,1,dyn_a4_existing_dense_block
506,1,dyn_a4_existing_dense_block
507,1,dyn_a4_existing_dense_block
508,1,dyn_a4_existing_dense_block
509,1,dyn_a4_existing_dense_block
510,1,dyn_a4_existing_dense_block
511,1,dyn_a4_existing_dense_block
512,1,dyn_a4_existing_dense_block
513,1,dyn_a4_existing_dense_block
514,1,dyn_a4_existing_dense_block
515,1,dyn_a4_existing_dense_block
516,1,dyn_a4_existing_dense_block
517,1,dyn_a4_existing_dense_block
518,1,dyn_a4_existing_dense_block
519,1,dyn_a4_existing_dense_block
520,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
521,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
522,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
523,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
524,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
525,1,dyn_a3_existing_sparse_block
526,1,dyn_a3_existing_sparse_block
527,1,dyn_a3_existing_sparse_block
528,1,dyn_a3_existing_sparse_block
529,1,dyn_a3_existing_sparse_block
530,1,dyn_a3_existing_sparse_block
531,1,dyn_a3_existing_sparse_block
532,1,dyn_a3_existing_sparse_block
533,1,dyn_a3_existing_sparse_block
534,1,dyn_a3_existing_sparse_block
535,1,dyn_a3_existing_sparse_block
536,1,dyn_a3_existing_sparse_block
537,1,dyn_a3_existing_sparse_block
538,1,dyn_a3_existing_sparse_block
539,1,dyn_a3_existing_sparse_block
540,0,
541,0,
542,0,
543,0,
544,0,
545,0,
546,0,
547,0,
548,0,
549,0,
550,0,
551,0,
552,0,
553,0,
554,0,
555,0,
556,0,
557,0,
558,0,
559,0,
560,1,dyn_a3_existing_sparse_block
561,1,dyn_a3_existing_sparse_block
562,1,dyn_a3_existing_sparse_block
563,1,dyn_a3_existing_sparse_block
564,1,dyn_a3_existing_sparse_block
565,1,dyn_a3_existing_sparse_block
566,1,dyn_a3_existing_sparse_block
567,1,dyn_a3_existing_sparse_block
568,1,dyn_a3_existing_sparse_block
569,1,dyn_a3_existing_sparse_block
570,1,dyn_a3_existing_sparse_block
571,1,dyn_a3_existing_sparse_block
572,1,dyn_a3_existing_sparse_block
573,1,dyn_a3_existing_sparse_block
574,1,dyn_a3_existing_sparse_block
575,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
576,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
577,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
578,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
579,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
580,1,dyn_a4_existing_dense_block
581,1,dyn_a4_existing_dense_block
582,1,dyn_a4_existing_dense_block
583,1,dyn_a4_existing_dense_block
584,1,dyn_a4_existing_dense_block
585,1,dyn_a4_existing_dense_block
586,1,dyn_a4_existing_dense_block
587,1,dyn_a4_existing_dense_block
588,1,dyn_a4_existing_dense_block
589,1,dyn_a4_existing_dense_block
590,1,dyn_a4_existing_dense_block
591,1,dyn_a4_existing_dense_block
592,1,dyn_a4_existing_dense_block
593,1,dyn_a4_existing_dense_block
594,1,dyn_a4_existing_dense_block
595,1,dyn_a4_existing_dense_block
596,1,dyn_a4_existing_dense_block
597,1,dyn_a4_existing_dense_block
598,1,dyn_a4_existing_dense_block
599,1,dyn_a4_existing_dense_block
600,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
